범죄중분류,서울,부산,대구,인천,광주,대전,경기 수원,울산,경남 창원,경기 부천
교통범죄,74958,35841,39725,31163,23412,13556,14715,16600,12650,10467
절도,55280,20136,12759,10679,8438,9495,6487,5449,5860,5048
사기,53879,20533,11507,13141,7669,7250,5749,5606,6170,5727
폭행,36904,8852,6607,9774,5386,4054,4123,4213,2650,3129
특별경제범죄,22075,13868,3421,5751,2535,1635,1596,1289,1018,1449
손괴,11735,3639,3019,3365,1791,1804,1497,1530,1199,1158
횡령,13314,2980,1725,2763,1416,1216,1231,794,708,1084
상해,7174,4675,2736,2179,1162,1516,938,1353,1187,524
폭력행위등,6725,2449,1595,1988,817,1045,1101,906,669,591
병역범죄,4591,959,800,1200,371,630,433,382,355,355
성풍속범죄,5421,1164,933,1190,376,438,368,257,164,360
