범죄중분류,노상,아파트,사무실,단독주택,유흥업소,상점,주차장,숙박업소 및 목욕탕,편의점,슈퍼마켓
교통범죄,300530,105,74,38,14,36,769,7,4,1
절도,46374,16482,2282,8535,7116,15031,9891,2666,6143,9920
사기,44667,10071,28142,12618,11025,4370,1326,1153,2389,354
폭행,41284,23656,2946,12716,9270,1506,2850,1903,1365,526
손괴,20560,8144,735,4452,2216,875,7254,2157,268,118
횡령,20347,2016,3926,744,1020,1516,952,197,1013,658
상해,9761,4876,1049,3014,3378,347,626,696,157,90
특별경제범죄,4104,1278,5978,874,4825,2187,187,604,1381,373
협박,6111,5052,693,3338,1134,281,265,195,208,54
보건범죄,919,1426,841,874,5865,780,15,164,52,59
강제추행,2602,1761,608,1096,1865,378,98,803,226,117
