범죄중분류,노상,아파트,사무실,단독주택,유흥업소,상점,주차장,숙박업소 및 목욕탕,편의점,슈퍼마켓,시장_노점,의료기관,고속도로,산야,금융기관,공장,역_대합실,유원지,공사장_광산,대형할인매장,학교,공중화장실,지하철,백화점,피씨방,창고,종교기관,흥행장,해상,부대,공지,구금장소
교통범죄,300530,105,74,38,14,36,769,7,4,1,79,3,5327,56,1,9,7,9,21,0,4,0,0,1,0,3,3,4,132,1,1,0
절도,46374,16482,2282,8535,7116,15031,9891,2666,6143,9920,3970,1139,99,3514,2881,972,1100,1493,1205,3350,1026,727,435,2142,1253,1179,440,364,71,9,56,3
사기,44667,10071,28142,12618,11025,4370,1326,1153,2389,354,1232,1516,939,271,1771,884,438,176,1305,67,233,6,59,115,316,92,153,156,33,45,13,12
폭행,41284,23656,2946,12716,9270,1506,2850,1903,1365,526,1071,1239,206,241,72,657,796,1089,565,81,516,160,376,77,294,92,172,97,54,36,8,31
손괴,20560,8144,735,4452,2216,875,7254,2157,268,118,756,121,20,1453,98,152,131,191,208,31,104,134,25,17,110,85,147,32,31,0,23,1
횡령,20347,2016,3926,744,1020,1516,952,197,1013,658,555,313,102,135,528,229,1569,972,166,180,117,900,788,228,144,69,42,90,22,1,4,3
상해,9761,4876,1049,3014,3378,347,626,696,157,90,290,330,50,147,12,336,120,303,228,15,287,34,37,18,67,40,60,26,23,8,4,8
특별경제범죄,4104,1278,5978,874,4825,2187,187,604,1381,373,686,564,28,112,650,517,191,57,355,58,80,4,17,50,91,25,50,38,10,2,5,0
협박,6111,5052,693,3338,1134,281,265,195,208,54,154,133,90,75,17,68,30,101,52,10,90,5,6,9,25,9,32,17,10,1,3,9
보건범죄,919,1426,841,874,5865,780,15,164,52,59,454,964,5,85,7,384,9,49,3,1,7,0,0,1,41,4,59,29,2,0,2,1
강제추행,2602,1761,608,1096,1865,378,98,803,226,117,153,376,16,30,10,64,321,191,11,14,251,66,604,21,31,10,31,93,2,12,2,7
성풍속범죄,2132,2316,383,1486,206,186,42,611,114,45,130,41,0,24,2,4,492,196,1,15,168,822,414,36,150,1,4,10,0,7,0,0
마약범죄,1719,963,152,1430,148,98,90,934,17,1,30,311,7,278,52,67,55,17,2,0,7,26,1,0,5,6,3,1,0,0,0,1
문서인장,697,206,3829,256,145,248,52,35,125,10,67,63,15,23,125,17,12,4,26,5,25,0,1,2,14,4,19,2,157,2,0,1
폭력행위등,2869,648,201,351,644,62,199,199,35,12,87,43,3,38,5,53,20,122,55,1,145,28,4,4,20,6,38,7,3,5,1,1
강간,127,1561,41,976,158,33,20,1692,1,0,15,15,2,8,0,2,1,17,1,0,16,43,0,0,4,5,8,2,0,1,1,0
도박범죄,71,289,1613,626,320,156,3,50,3,7,57,0,0,15,4,15,1,9,1,1,0,0,0,0,108,31,1,11,4,7,0,0
환경범죄,599,12,168,19,2,43,9,5,0,1,5,7,3,228,0,832,6,5,262,0,2,0,1,1,0,24,1,13,170,0,13,0
배임,151,141,1543,46,35,39,5,7,5,3,20,17,1,7,43,36,0,8,22,4,15,0,0,7,1,1,12,4,1,0,1,0
공갈,554,356,259,317,129,57,17,43,32,6,31,22,4,4,18,9,5,24,14,7,42,1,1,0,26,3,7,1,1,6,1,2
방화,153,279,31,246,28,19,36,40,1,1,18,12,0,15,1,17,3,20,6,0,7,9,1,0,0,12,8,0,5,0,0,0
체포감금,209,259,59,141,51,14,13,103,5,1,2,28,6,5,1,4,3,3,3,1,3,0,0,0,4,0,5,0,0,0,0,0
병역범죄,76,128,248,244,0,1,0,5,0,0,0,4,1,1,0,5,3,6,0,0,10,0,1,0,0,0,0,0,0,76,0,0
유사강간,36,247,9,147,38,10,11,170,2,0,6,12,0,1,0,1,0,10,0,0,8,9,0,0,1,1,2,0,0,0,0,1
직무유기,72,15,542,8,5,2,1,2,1,1,3,6,0,11,4,1,1,2,5,0,21,0,0,0,1,0,0,0,0,3,0,6
직권남용,113,14,426,16,14,5,2,2,4,0,3,9,0,6,4,0,2,0,0,0,14,0,0,0,0,0,2,0,0,0,0,8
강도,114,78,15,47,27,32,10,47,39,10,3,3,1,4,2,2,2,3,0,3,1,3,0,2,1,1,1,0,0,0,0,0
살인미수등,87,116,11,67,28,3,7,11,3,3,1,9,1,2,0,2,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0
통화,14,2,16,4,17,19,0,2,18,1,9,0,0,0,205,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
노동범죄,21,3,134,5,44,1,0,10,1,0,4,3,0,3,0,19,0,0,7,0,4,0,1,0,0,0,0,0,4,0,0,0
살인기수,43,92,5,57,5,0,2,19,0,0,0,10,1,2,0,3,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
선거범죄,101,6,54,6,7,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0
증수뢰,17,3,103,3,18,1,3,3,0,1,2,3,0,1,0,0,0,4,2,0,8,0,0,0,0,0,0,4,0,2,0,0
안보범죄,32,2,49,6,4,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
유가증권인지,1,0,17,0,0,1,0,2,3,2,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
